node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
CD58,1491865.0,0.78828,14.0,15.0,17.959,1.0,0.33333,39.0,4.23077,44.1915,316.0,0.66667,
ARID1A,181.0,0.47733,9.0,10.0,11.514,2.0,0.33333,35.83333,4.09231,70.16383,344.0,0.44444,
ITGB3,1547664.0,0.6264,20.0,20.0,21.06,1.0,0.33333,41.33333,4.29231,47.12887,450.0,0.53684,
BUB1,84.0,0.4296,9.0,9.0,11.261,1.0,0.33333,35.66667,4.10769,50.59871,388.0,0.5,
LILRA2,6686.0,0.57479,13.0,13.0,17.58,1.0,0.25,37.41667,4.13846,13.29882,138.0,0.57692,
CDKN1A,5.20170426E8,0.50435,31.0,31.0,23.65,15.0,0.33333,47.66667,4.53846,439.72488,2614.0,0.37204,
GIMAP4,26809.0,0.66441,14.0,15.0,18.163,2.0,0.25,38.58333,4.18462,119.45376,734.0,0.5619,
NADK,14.0,0.28529,6.0,8.0,9.351,1.0,0.25,33.41667,3.92308,22.62775,116.0,0.21429,
CFD,246.0,0.47886,10.0,10.0,13.488,1.0,0.25,35.58333,4.06154,17.08615,96.0,0.53333,
GAS7,50.0,0.4082,8.0,10.0,12.041,2.0,0.33333,35.66667,4.07692,148.60517,788.0,0.31111,
IL13RA1,443644.0,0.71529,13.0,13.0,16.162,1.0,0.25,37.58333,4.15385,25.4796,216.0,0.71795,
TTK,36.0,0.47549,6.0,6.0,7.446,1.0,0.33333,32.66667,3.92308,14.30925,134.0,0.66667,
HNMT,19.0,0.45378,5.0,6.0,9.179,1.0,0.33333,32.83333,3.93846,5.6601,46.0,0.46667,
SQLE,58.0,0.2927,12.0,12.0,12.357,2.0,0.33333,37.0,4.13846,156.30749,730.0,0.30303,
BTK,2.2774266E7,0.70792,27.0,27.0,23.598,3.0,0.33333,45.66667,4.47692,95.37786,796.0,0.54701,
TREX1,6.2270208E9,0.9963,13.0,13.0,18.124,1.0,0.25,36.25,4.03077,0.0,0.0,1.0,
RSAD2,5.324585414402E12,0.93459,23.0,23.0,23.186,3.0,0.25,42.08333,4.26154,46.20283,326.0,0.76285,
OAS1,5.32524295296E12,0.96656,25.0,25.0,24.851,1.0,0.33333,44.16667,4.4,22.43628,386.0,0.76667,
MX1,5.325248953602E12,0.78238,34.0,34.0,26.782,1.0,0.33333,49.16667,4.58462,127.33658,1274.0,0.55971,
ISG15,5.325232909774E12,0.69019,34.0,34.0,25.782,12.0,0.33333,49.33333,4.6,299.01433,1862.0,0.49376,
IFIT1,5.325224108448E12,0.89242,26.0,26.0,24.574,1.0,0.33333,45.0,4.44615,53.22264,634.0,0.69846,
DDX60,3.9292501248009995E12,1.06514,18.0,19.0,21.346,2.0,0.25,39.58333,4.15385,71.60512,356.0,0.84795,
BCL2,1.78479706E8,0.53209,38.0,38.0,26.049,4.0,0.33333,51.0,4.63077,431.8454,2612.0,0.367,
IFI44L,5.324102784E12,1.05628,20.0,20.0,23.01,1.0,0.25,40.25,4.18462,3.26284,62.0,0.90526,
IFI44,5.319017465166E12,0.86997,28.0,28.0,25.214,1.0,0.33333,45.66667,4.44615,47.70958,582.0,0.66402,
IFI27,4.016428421042E12,0.93263,21.0,21.0,21.866,1.0,0.25,40.91667,4.21538,38.42883,242.0,0.78571,
